Namespace;Namespace_loc_id;loc_id;loc_oms;loc_id_oms;Meetpunttype;Monitoringsoort.code;LigtInGeoobject.identificatie;HoortBijGeoobject.identificatie;waterlichaam;x1;y1;x2;y2;watertype;watertype_oms;Watergangcategorie;Watergangcategorie.code;Oever;NVO;Afvoergebiedcode;Afvoergebied_clustercode;wijzigingen_log;Opm_intern;Opm_dataleverancier;Foto_id;Aanmaakdatum;Fysische chemie;Meetnet Kader Richtlijn Water (KRW, FC);Meetnet Agrarisch en Stedelijk gebied (FC);Agrarisch & Stedelijk Roulatiejaar 1 (FC);Agrarisch & Stedelijk Roulatiejaar 2 (FC);Agrarisch & Stedelijk Roulatiejaar 3 (FC);Meetnet waterkwaliteit hoofdwater (FC);Meetnet Nutrienten Landbouw Specifiek Oppervlaktewater (MNLSO, FC);Calamiteiten Meetnet Nucleaire Ongevallen (CMNO, FC);Meetnet gewasbeschermingsmiddelen (FC);Landelijk Meetnet GewasBeschermingsMiddelen (LMGBM, FC);Meetnet zwemwater (FC);Meetnet hygienische waterkwaliteit (FC);Roulerend meetnet 2006 -2019 (FC);Centraal stadsdeel (FC);Groenraven Oost - Maartensdijk (FC);Kromme Rijn - Honswijk (FC);Langbroekerwetering (FC);Lopikerwaard (FC);Oude Rijn (FC);Projecten (FC);Lange weide (FC);Online waterkwaliteit Batau (FC);Onderwaterdrainage De Vlist (FC);Natuurgebieden (FC);Overige projecten (FC);Afgerond (FC);Historische meetpunten (< 2000) waarvan doel onbekend (FC);Biologie;Meetnet Kader Richtlijn Water (KRW, BIO);NL14_01 Langbroekerwetering (BIO);NL14_02 Kromme Rijn (BIO);NL14_03 Westerlaak (BIO);NL14_04 Honswijk (BIO);NL14_05 Biltse Grift (BIO);NL14_06 Ravense Wetering (BIO);NL14_07 Merwedekanaal (BIO);NL14_08 Binnenstad Utrecht (BIO);NL14_09 Maartensdijk (BIO);NL14_10 Hollandse IJssel (BIO);NL14_11 De Keulevaart (BIO);NL14_12 De Pleijt (BIO);NL14_13 De Koekoek (BIO);NL14_15 Bijleveld (BIO);NL14_16 Leidsche Rijn (BIO);NL14_18 Galecop (BIO);NL14_19 Gerverscop (BIO);NL14_20 De Tol (BIO);NL14_21 Ouwenaar - Haarrijn (BIO);NL14_22 Wiericke's (BIO);NL14_23 Snelrewaard (BIO);NL14_24 Lange Linschoten (BIO);NL14_25 Montfoortse Vaart (BIO);NL14_26 Meijepolder (BIO);NL14_27 Oude Rijn (BIO);NL14_28 Zegveld (BIO);NL14_29 Grecht (BIO);NL14_30 Kockengen (BIO);NL14_31 Kamerik Teijlingens (BIO);NL14_32 Houtensewetering (BIO);NL14_33 Oud Kamerik (BIO);Meetnet Agrarisch en Stedelijk gebied (BIO);Agrarisch & Stedelijk Roulatiejaar 1 (BIO);Agrarisch & Stedelijk Roulatiejaar 2 (BIO);Agrarisch & Stedelijk Roulatiejaar 3 (BIO);Meetnet Macrofauna (BIO);Meetnet Natuurvriendelijke oevers (BIO);Meetnet Beschermde flora en fauna (wetNB, BIO);Meetnet Stadswateren (Ecoscans, BIO);Roulerend meetnet 2006 -2019 (BIO);Centraal stadsdeel (BIO);Groenraven Oost - Maartensdijk (BIO);Kromme Rijn - Honswijk (BIO);Langbroekerwetering (BIO);Lopikerwaard (BIO);Oude Rijn (BIO);Roulerend - buiten gebruik (BIO);Projecten (BIO);Groen Blauwe Diensten (BIO);Overig water (BIO);Effectmonitoring maaibeheer (BIO);Nevengeul en vlechtschermen bij Odijk (BIO);Lange weide (BIO);Natuurgebieden (BIO);Overige projecten (BIO);Afgerond (BIO);KRW waterlichamen;Overige waterbeheerders
NL14;NL14_01_15_oud;01_15_oud;Langbroekerwetering NL14_01 15 = ab57 oud;01_15_oud Langbroekerwetering NL14_01 15 = ab57 oud;;;;;NL14_01;156689;444463;;;M1a;Zoete gebufferde sloten;;;;;;;;;;NL14_01_15_oud.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;
NL14;NL14_01_16;01_16;Ten oosten van instroom Melkwegwetering;01_16 Ten oosten van instroom Melkwegwetering;;;;;NL14_01;154480;444805;;;M1a;Zoete gebufferde sloten;;;;;;;;;;NL14_01_16.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NL14;NL14_01_17;01_17;Na instroom Melkwegwetering;01_17 Na instroom Melkwegwetering;;;;;NL14_01;153070;445420;;;M1a;Zoete gebufferde sloten;;;;;;;;;;NL14_01_17.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NL14;NL14_01_18;01_18;Ten oosten van ab09;01_18 Ten oosten van ab09;;;;;NL14_01;152530;445908;;;M1a;Zoete gebufferde sloten;;;;;;;;;;NL14_01_18.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NL14;NL14_01_19;01_19;ten oosten van verbindingssloot LBW-Gooyerwetering (ab09);01_19 ten oosten van verbindingssloot LBW-Gooyerwetering (ab09);;;;NL14_20007;NL14_01;151363;446726;;;M1a;Zoete gebufferde sloten;;;Z;Nee;;;;;;NL14_01_19.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;
NL14;NL14_01_20;01_20;Na verbindingssloot Gooyerwetering;01_20 Na verbindingssloot Gooyerwetering;;;;;NL14_01;150910;446934;;;M1a;Zoete gebufferde sloten;;;;;;;;;;NL14_01_20.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NL14;NL14_01_VIS_1;01_VIS_1;Meetlocatie 01_VISTRJ_1 Monster 01_VIS_1 Elektrisch schepnet met keernetten;01_VIS_1 Meetlocatie 01_VISTRJ_1 Monster 01_VIS_1 Elektrisch schepnet met keernetten;;;;;NL14_01;150907;446917;150720;446674;M1a;Zoete gebufferde sloten;;;;;;;;;;NL14_01_VIS_1.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NL14;NL14_01_VIS_10;01_VIS_10;Meetlocatie 01_VISTRJ_10 Monster 01_VIS_10 Elektrisch schepnet met keernetten;01_VIS_10 Meetlocatie 01_VISTRJ_10 Monster 01_VIS_10 Elektrisch schepnet met keernetten;;;;;NL14_01;155692;444378;155305;444332;M1a;Zoete gebufferde sloten;;;;;;;;;;NL14_01_VIS_10.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NL14;NL14_01_VIS_11;01_VIS_11;Meetlocatie 01_VISTRJ_11 Monster 01_VIS_11 Elektrisch schepnet met keernetten;01_VIS_11 Meetlocatie 01_VISTRJ_11 Monster 01_VIS_11 Elektrisch schepnet met keernetten;;;;;NL14_01;152895;443900;153142;443970;M1a;Zoete gebufferde sloten;;;;;;;;;;NL14_01_VIS_11.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NL14;NL14_01_VIS_12;01_VIS_12;Meetlocatie 01_VISTRJ_12_14 Monster 01_VIS_12 Zegen met keernetten;01_VIS_12 Meetlocatie 01_VISTRJ_12_14 Monster 01_VIS_12 Zegen met keernetten;;;;;NL14_01;151436;446689;151247;446778;M1a;Zoete gebufferde sloten;;;;;;;;;;NL14_01_VIS_12.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NL14;NL14_01_VIS_12_14;01_VIS_12_14;Langbroekerwetering electrisch schepnet en zegen met keernetten 12_14;01_VIS_12_14 Langbroekerwetering electrisch schepnet en zegen met keernetten 12_14;;;;NL14_20007;NL14_01;151243;446779;;;M1a;Zoete gebufferde sloten;;;;;;;;;;NL14_01_VIS_12_14.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NL14;NL14_01_VIS_13;01_VIS_13;Meetlocatie 01_VISTRJ_13_15 Monster 01_VIS_13 Zegen met keernetten;01_VIS_13 Meetlocatie 01_VISTRJ_13_15 Monster 01_VIS_13 Zegen met keernetten;;;;;NL14_01;146034;450361;145918;450547;M1a;Zoete gebufferde sloten;;;;;;;;;;NL14_01_VIS_13.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NL14;NL14_01_VIS_13_15;01_VIS_13_15;Langbroekerwetering electrisch schepnet en zegen met keernetten 13_15;01_VIS_13_15 Langbroekerwetering electrisch schepnet en zegen met keernetten 13_15;;;;NL14_20007;NL14_01;145918;450547;;;M1a;Zoete gebufferde sloten;;;;;;;;;;NL14_01_VIS_13_15.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NL14;NL14_01_VIS_14;01_VIS_14;Meetlocatie 01_VISTRJ_12_14 Monster 01_VIS_14 Elektrisch schepnet;01_VIS_14 Meetlocatie 01_VISTRJ_12_14 Monster 01_VIS_14 Elektrisch schepnet;;;;;NL14_01;151436;446689;151247;446778;M1a;Zoete gebufferde sloten;;;;;;;;;;NL14_01_VIS_14.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NL14;NL14_01_VIS_15;01_VIS_15;Meetlocatie 01_VISTRJ_13_15 Monster 01_VIS_15 Elektrisch schepnet;01_VIS_15 Meetlocatie 01_VISTRJ_13_15 Monster 01_VIS_15 Elektrisch schepnet;;;;;NL14_01;146034;450361;145918;450547;M1a;Zoete gebufferde sloten;;;;;;;;;;NL14_01_VIS_15.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NL14;NL14_01_VIS_2;01_VIS_2;Meetlocatie 01_VISTRJ_2 Monster 01_VIS_2 Elektrisch schepnet met keernetten;01_VIS_2 Meetlocatie 01_VISTRJ_2 Monster 01_VIS_2 Elektrisch schepnet met keernetten;;;;;NL14_01;151251;446784;151393;446968;M1a;Zoete gebufferde sloten;;;;;;;;;;NL14_01_VIS_2.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NL14;NL14_01_VIS_3;01_VIS_3;Meetlocatie 01_VISTRJ_3 Monster 01_VIS_3 Elektrisch schepnet met keernetten;01_VIS_3 Meetlocatie 01_VISTRJ_3 Monster 01_VIS_3 Elektrisch schepnet met keernetten;;;;;NL14_01;148048;448380;147834;448500;M1a;Zoete gebufferde sloten;;;;;;;;;;NL14_01_VIS_3.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NL14;NL14_01_VIS_4;01_VIS_4;Meetlocatie 01_VISTRJ_4 Monster 01_VIS_4 Elektrisch schepnet met keernetten;01_VIS_4 Meetlocatie 01_VISTRJ_4 Monster 01_VIS_4 Elektrisch schepnet met keernetten;;;;;NL14_01;150502;447110;150275;447216;M1a;Zoete gebufferde sloten;;;;;;;;;;NL14_01_VIS_4.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NL14;NL14_01_VIS_5;01_VIS_5;NL14_01 Langbroekerwetering electro 3;01_VIS_5 NL14_01 Langbroekerwetering electro 3;;;;;NL14_01;149394;447621;149148;447731;M1a;Zoete gebufferde sloten;;;;;;;;;;NL14_01_VIS_5.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NL14;NL14_01_VIS_6;01_VIS_6;NL14_01 Langbroekerwetering electro 4;01_VIS_6 NL14_01 Langbroekerwetering electro 4;;;;;NL14_01;152262;446123;152454;445966;M1a;Zoete gebufferde sloten;;;;;;;;;;NL14_01_VIS_6.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NL14;NL14_01_VIS_7;01_VIS_7;Meetlocatie 01_VISTRJ_7 Monster 01_VIS_7 Elektrisch schepnet met keernetten;01_VIS_7 Meetlocatie 01_VISTRJ_7 Monster 01_VIS_7 Elektrisch schepnet met keernetten;;;;;NL14_01;152520;444705;152676;444910;M1a;Zoete gebufferde sloten;;;;;;;;;;NL14_01_VIS_7.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NL14;NL14_01_VIS_8;01_VIS_8;Meetlocatie 01_VISTRJ_8 Monster 01_VIS_8 Elektrisch schepnet met keernetten;01_VIS_8 Meetlocatie 01_VISTRJ_8 Monster 01_VIS_8 Elektrisch schepnet met keernetten;;;;;NL14_01;153190;445560;153344;445764;M1a;Zoete gebufferde sloten;;;;;;;;;;NL14_01_VIS_8.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NL14;NL14_01_VIS_9;01_VIS_9;Meetlocatie 01_VISTRJ_9 Monster 01_VIS_9 Elektrisch schepnet met keernetten;01_VIS_9 Meetlocatie 01_VISTRJ_9 Monster 01_VIS_9 Elektrisch schepnet met keernetten;;;;;NL14_01;153989;444856;154237;444816;M1a;Zoete gebufferde sloten;;;;;;;;;;NL14_01_VIS_9.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NL14;NL14_02;02;Kromme Rijn;02 Kromme Rijn;;;;NL14_20001;;138747;454494;;;R6;Langzaam stromend riviertje op zand/klei;;;;;;;;;;NL14_02.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;
NL14;NL14_02_01;02_01;Sluis Wijk bij Duurstede;02_01 Sluis Wijk bij Duurstede;;;;NL14_20001;NL14_02;152363;442850;;;R6;Langzaam stromend riviertje op zand/klei;;;O;Beschoeid;;;;;;NL14_02_01.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NL14;NL14_02_02;02_02;Na monding Amerongerwetering;02_02 Na monding Amerongerwetering;;;;;NL14_02;152400;444000;;;R6;Langzaam stromend riviertje op zand/klei;;;;;;;;;;NL14_02_02.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NL14;NL14_02_03;02_03;Langs Groenewoudpad (ab59);02_03 Langs Groenewoudpad (ab59);;;;NL14_20001;NL14_02;151746;444231;;;R6;Langzaam stromend riviertje op zand/klei;;;N;Beschoeid;;;;;;NL14_02_03.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TRUE;;;;1;;;;;;;;;;;;;;;;;;
