fewsid;Id;Code;Omschrijving;Groep;Begin geldigheid;Eind geldigheid
62;34;LC-MS;Vloeistofchromatografie - massaspectrometrie (Hoge Druk);waardebepalingstechniek;4 september 2020;1 januari 2100
63;184;LC-MS-MS;Vloeistofchromatografie-massaspect.-massaspect. (Hoge Druk);waardebepalingstechniek;4 september 2020;1 januari 2100
64;185;LC-TQMS;Vloeistofchrom. -tandem quadrupool massaspect. (Hoge Druk);waardebepalingstechniek;4 september 2020;1 januari 2100
65;186;LDO;Luminescentie;waardebepalingstechniek;4 september 2020;1 januari 2100
66;187;LSC;vloeistofscintillatie;waardebepalingstechniek;22 januari 2013 00:00:00;1 januari 2100 00:00:00
67;188;MEMBF;Membraanfiltratie;waardebepalingstechniek;6 oktober 2011 00:00:00;1 januari 2100 00:00:00
68;85;MICCOUL;Microcoulometrie;waardebepalingstechniek;21 november 2015 00:00:00;1 januari 2100 00:00:00
69;87;MICCOUL-PT;Microcoulometrie - purge-and-trap;waardebepalingstechniek;21 november 2015 00:00:00;1 januari 2100 00:00:00
70;190;MICSCOP;Microscopie;waardebepalingstechniek;6 oktober 2011 00:00:00;1 januari 2100 00:00:00
71;191;MICTTPT;Microtiter-plaat;waardebepalingstechniek;7 juli 2012 00:00:00;1 januari 2100 00:00:00
72;192;NEFLMTE;Nefelometrie;waardebepalingstechniek;8 mei 2012 00:00:00;1 januari 2100 00:00:00
73;193;ORGNLTSCH;Organoleptisch;waardebepalingstechniek;8 mei 2012 00:00:00;1 januari 2100 00:00:00
74;31;POTM;Potentiometrie;waardebepalingstechniek;21 november 2015 00:00:00;1 januari 2100 00:00:00
75;99;POTM_TITM;Potentiometrische titratie;waardebepalingstechniek;21 november 2015 00:00:00;1 januari 2100 00:00:00
76;208;RADOMT-BWHH;Radiometrie, boven water - hand-held;waardebepalingstechniek;9 juli 2016 00:00:00;1 januari 2100 00:00:00
77;210;RADOMT-BWHHG;Radiometrie, boven water - hand-held met gyroscoop;waardebepalingstechniek;9 juli 2016 00:00:00;1 januari 2100 00:00:00
78;209;RADOMT-BWVO;Radiometrie, boven water - vaste opstelling;waardebepalingstechniek;9 juli 2016 00:00:00;1 januari 2100 00:00:00
79;195;RONTGDF;Röntgendiffractie;waardebepalingstechniek;6 oktober 2011 00:00:00;1 januari 2100 00:00:00
80;104;RONTGTM;Röntgentransmissie;waardebepalingstechniek;21 november 2015 00:00:00;1 januari 2100 00:00:00
81;101;RONTGTM_GRAV;Röntgentransmissie en gravimetrie (met zeef);waardebepalingstechniek;21 november 2015 00:00:00;1 januari 2100 00:00:00
82;197;SEDI;Sedigraaf;waardebepalingstechniek;6 oktober 2011 00:00:00;1 januari 2100 00:00:00
83;109;STER/POLMIC;Stereo- en polarisatiemicrosopie;waardebepalingstechniek;21 november 2015 00:00:00;1 januari 2100 00:00:00
84;199;THERMG;Thermografie;waardebepalingstechniek;6 oktober 2011 00:00:00;1 januari 2100 00:00:00
85;200;THERMM;Thermometrie;waardebepalingstechniek;5 juli 2014 00:00:00;1 januari 2100 00:00:00
86;110;TITM;Titrimetrie;waardebepalingstechniek;21 november 2015 00:00:00;1 januari 2100 00:00:00
87;107;UV/VIS;Spectrofotometrie;waardebepalingstechniek;21 november 2015 00:00:00;1 januari 2100 00:00:00
88;115;VISL;Visueel;waardebepalingstechniek;21 november 2015 00:00:00;1 januari 2100 00:00:00
89;204;VOL;Volumetrie;waardebepalingstechniek;8 mei 2012 00:00:00;1 januari 2100 00:00:00
90;205;qPCR;Kwantitatieve polymerase-kettingreactie;waardebepalingstechniek;12 februari 2013 00:00:00;1 januari 2100 00:00:00
